股票,公司亮点,主营业务,收入,净利润,毛利率
精伦电子,"公司亮点：智能控制产品拥有技术优势,缝制机械数控系统行业排名第一",主营业务：智能制造类产品、商用智能终端类产品和软件与信息服务类产品的开,收入：1.04亿元同比增长0.93%+,净利润：-1.10元+总股本:4.92亿,毛利率：21.95%+
东方中科,"公司亮点：中科院旗下,国内领先的电子测试测量领域综合服务商,收购万里红","主营业务：专注于为客户提供包括仪器销售、租赁、系统集成,以及保理和招标",收入：19.49亿元同比下降9.24%+,净利润：-0.84亿元同比增长22.45%+,毛利率：20.63%+
中国软件,"公司亮点：中国电子旗下的网络安全与信息化板块核心企业,信创行业领军者",主营业务：应用软件生产和提供相关服务。,收入：29.20亿元同比下降29.77%+,净利润：-3.38亿元同比增长20.05%+,毛利率：44.79%+
中国长城,公司亮点：金融智能网点解决方案国内市场占有率第一,主营业务：计算产业、系统装备及其他业务。,收入：96.06亿元同比增长19.27%+,净利润：-6.88亿元同比增长17.24%+,毛利率：16.38%+
中科曙光,"公司亮点：中科院计算所旗下,中国超算行业龙头,中国液冷数据中心领导者",主营业务：高端计算机、存储、安全、数据中心产品的研发及制造。,收入：25.86亿元同比增长4.34%+,净利润：1.85亿元同比增长29.53%+,毛利率：未公布+
恒宝股份,公司亮点：从事智能卡、安全数字化、物联网、大数据、区块链的服务商,主营业务：高端智能化产品及数字安全解决方案等服务。,收入：6.82亿元同比下降28.49%+,净利润：0.91亿元同比下降33.81%+,毛利率：34.21%+
国网信通,"公司亮点：位于水系发达、水电前景广的四川阿坝州,拥有相对完整的电力系统",主营业务：云网基础设施、企业数字化服务、电力数字化服务,收入：37.47亿元同比下降4.89%+,净利润：2.98亿元同比下降13%+,毛利率：21.16%+
网达软件,"公司亮点：始终专注于大视频领域的视频智能化软件提供商,持续支撑亿级业务","主营业务：专注于大视频领域,依托国家在5G、人工智能、超高清视频和软件国",收入：2.44亿元同比增长13.93%+,净利润：0.11亿元同比增长120.84%+,毛利率：27.36%+
三六零,"公司亮点：中国最大的互联网安全公司,PC安全产品市场持续排名第一,持股哪",主营业务：提供互联网广告及服务、智能硬件业务、互联网增值服务及安全业务,收入：56.09亿元同比下降16.76%+,净利润：-5.79亿元同比下降57.03%+,毛利率：64.74%+
电科网安,公司亮点：国内以密码为核心的信息安全产品和系统的最大供应商之一,"主营业务：从事信息安全产品研制、生产及销售,产品线覆盖数据安全、网络安",收入：9.93亿元同比下降42.33%+,净利润：-2.13亿元同比下降380.49%+,毛利率：38.94%+
同方股份,公司亮点：公司是以清华大学为依托的科研成果产业化平台,主营业务：核技术应用、智慧能源和信息产业。,收入：93.37亿元同比下降48.36%+,净利润：0.75亿元同比增长112.01%+,毛利率：27.68%+
紫光股份,"公司亮点：中国云管理平台市场保持市场份额第一,中国SDN(软件)市场占有率",主营业务：提供智能化的网络、计算、存储、云计算、安全和智能终端等全栈IC,收入：588.39亿元同比增长6.56%+,净利润：15.82亿元同比增长2.65%+,毛利率：17.59%+
大豪科技,"公司亮点：北京国资委旗下,国内缝制、针织设备电控领域龙头",主营业务：智能装备电控系统及相关产品、智能工厂云平台系统、信息安全硬件,收入：25.29亿元同比增长24.42%+,净利润：5.84亿元同比增长44.08%+,毛利率：41.86%+
四维图新,公司亮点：国内导航电子地图行业的领先企业,主营业务：导航地图、智能驾驶、汽车智能网联、汽车电子芯片等产品的研发、,收入：25.28亿元同比增长9.06%+,净利润：None,毛利率：34.69%+
海格通信,公司亮点：从事军用通信设备、导航设备研制的国资控股企业,主营业务：无线通信领域、北斗导航领域、航空航天领域、数智生态领域。,收入：49.20亿元同比下降23.71%+,净利润：None,毛利率：28.79%+
中兴通讯,公司亮点：全球领先的综合性通信制造商、通信解决方案提供商之一,"主营业务：为客户提供满意的ICT产品及解决方案,集①设计、开发、生产、销售",收入：1212.99亿元同比下降2.38%+,净利润：8.34元+总股本:47.84亿股,毛利率：37.91%+
楚天龙,公司亮点：国内最具规模的智能卡及其综合安全解决方案的提供商之一,主营业务：嵌入式安全产品、智能硬件等产品的研发、生产和销售。,收入：6.95亿元同比下降27.02%+,净利润：-0.28亿元同比下降138.55%+,毛利率：28.86%+
拓维信息,公司亮点：以教育科技、软件服务、移动游戏为主营业务的互联网公司,主营业务：软件服务与解决方案、AI行业大模型与行业应用、开源鸿蒙行业发行,收入：29.45亿元同比增长57.26%+,净利润：None,毛利率：15.94%+
恒为科技,公司亮点：国产自主可控硬件、软件和系统级技术能力上均达到了领先水平,主营业务：智能系统解决方案的研发、销售与服务。,收入：8.81亿元同比增长76.76%+,净利润：0.78亿元同比增长145.87%+,毛利率：31.88%+
实达集团,"公司亮点：构建""移动互联+物联""战略版图,助力行业物联网应用加速落地",主营业务：大数据业务、物联网周界安防业务。,收入：0.63亿元同比下降69.45%+,净利润：0.37亿元同比增长98.3%+,毛利率：45.83%+
浪潮信息,公司亮点：中国最大的服务器制造商和服务器解决方案提供商,主营业务：服务器等云计算基础设施产品的研发、生产、销售。,收入：1147.67亿元同比增长74.24%+,净利润：22.92亿元同比增长28.55%+,毛利率：6.85%+
启明信息,"公司亮点：中国一汽集团旗下,拥有国内第一家自研汽车工业互联网平台",主营业务：企业数字管理、创新运营服务和智能汽车电子。,收入：4.53亿元同比下降43.2%+,净利润：-0.33亿元同比下降151.59%+,毛利率：22.56%+
恒银科技,公司亮点：国内领先的以金融自助设备为核心的智慧银行解决方案提供商,主营业务：金融智能终端研发、生产、销售及服务。,收入：2.57亿元同比下降14.68%+,净利润：-0.36亿元同比增长43.18%+,毛利率：-7.70%+
深桑达A,"公司亮点：中国电子集团旗下,洁净室净化工程级别最高已达到国际领先标准,",主营业务：数字与信息服务业务、高科技产业工程服务、数字供热与新能源服务,收入：484.22亿元同比增长25.21%+,净利润：-1.27亿元同比增长53.07%+,毛利率：9.13%+
中新赛克,公司亮点：信息网络安全与数据应用领域卓越的整体解决方案提供商,主营业务：网络可视化基础架构、网络内容安全、大数据运营产品等产品的研发,收入：6.58亿元同比增长0.8%+,净利润：0.60亿元同比下降47.55%+,毛利率：74.93%+
